p_pdb,q_pdb,execution_time
1s3i_A,2cfi_A,0.5198545455932617
1s3i_A,2bw0_A,0.5370228290557861
3k9v_A,3k9v_B,0.7485802173614502
2c23_A,2btp_A,0.401930570602417
2bq0_B,2c23_A,0.0211859979
1k5h_A,1k5h_B,0.5530025959014893
1q0q_A,2egh_A,0.0456670001
1q0q_A,1jvs_A,0.0546989962
1k5h_A,1q0q_A,0.0370619968
1o98_A,2ify_A,0.115804002
1n9g_A,1n9g_C,0.0213080011
1gu7_A,1guf_A,0.0376649983
1h0k_A,1n9g_A,0.0372260027
1h0k_A,1h0k_B,0.0376409963
1n9g_D,1n9g_B,0.026382003
1n9g_B,1n9g_C,0.0219139978
2vo4_A,3fhs_A,0.18019962310791016
1u3p_A,1gx1_C,0.20973825454711914
1h48_E,1h47_C,0.13478755950927734
1h48_E,1h47_E,0.13763856887817383
1ks9_A,1yjq_A,0.0335110016
2ofp_B,1ks9_A,0.14709830284118652
1ks9_A,2ofp_A,0.22997522354125977
2ew2_A,2ew2_B,0.2000582218170166
5uqo_A,5uqu_A,0.3421642780303955
5uqo_A,5uqu_B,0.39641547203063965
5uqo_A,6bol_A,0.2470989227294922
5uqo_A,5uqr_A,0.24036026000976562
5uqo_A,5uqr_B,0.0273360014
5uqo_A,6bol_B,0.0501419976
5buq_A,5bur_A,0.25045132637023926
5buq_B,5bur_A,0.23705339431762695
5buq_A,5buq_B,0.20614194869995117
2hun_A,2hun_B,0.2643139362335205
2a5a_A,1uk4_A,0.1801295280456543
4in1_A,4inh_C,0.26160383224487305
4in1_A,4inh_H,0.18189048767089844
4in1_A,2iph_A,0.15310215950012207
4in1_A,4inh_A,0.0134180002
4in1_A,4inh_B,0.19075393676757812
1uj1_B,1uk2_B,0.024385998
7joy_A,7joy_B,0.0127459988
1uj1_A,1uk2_A,0.07255721092224121
3vb3_A,3vb3_B,0.016063001
1nr5_A,1nua_A,0.2307295799255371
1nva_A,1dqs_A,0.18912649154663086
1nvf_A,1nua_A,0.0650539994
1xah_A,1xag_A,0.0351549946
1nrx_A,1dqs_A,0.0381549969
1nva_A,1nvf_A,0.17756390571594238
1nr5_A,1nrx_A,0.0550539978
2xcu_A,2xci_C,0.0442130007
2xcu_A,2xci_A,0.2837510108947754
2xcu_C,2xci_C,0.2867755889892578
2xci_A,2xcu_B,0.24590349197387695
2xci_A,2xcu_C,0.23963236808776855
2xci_B,2xcu_C,0.21100115776062012
1h7e_A,1h7g_B,0.0301910006
1vh3_C,1vh3_B,0.21857523918151855
1gqc_A,1h7h_B,0.0200009998
1vic_A,1vh3_B,0.14394450187683105
1h7g_A,1h7g_B,0.0231569987
2cvz_A,2cvz_D,0.017177999
7wnw_B,7wnn_B,0.0260269996
1ipd_A,1a05_A,0.22219133377075195
1xaa_A,1a05_A,0.24041223526000977
1hex_A,1a05_A,0.20118188858032227
2y3z_A,4f7i_A,0.019115001
1ipd_,1osj_A,0.28830766677856445
1vjd_A,2wzb_A,0.2953610420227051
13pk_A,1vjd_A,0.26106834411621094
13pk_A,1php_A,0.21990108489990234
