p_pdb,q_pdb,execution_time
1CBU_B,1C9K_B,0.04110407829284668
1E0S_A,2J5X_A,0.04879045486450195
1BRD_A,2BRD_A,0.030570507049560547
4ICB_A,1CLB_A,0.03765559196472168
5DFR_A,4DFR_A,0.030972003936767578
1PFH_A,1HDN_A,0.04176902770996094
1A8V_A,2A8V_A,0.035460472106933594
1RCL_A,1RCK_A,0.03132176399230957
1K9K_A,1K9P_A,0.045424461364746094
1BJY_A,1BJZ_A,0.0314183235168457
3TMS_A,2TSC_A,0.03115367889404297
2RAN_A,1AXN_A,0.029727935791015625
1F3Y_A,1JKN_A,0.039975881576538086
1B0O_A,1BEB_A,0.03879857063293457
1A03_B,1CNP_A,0.04799604415893555
5CRO_A,6CRO_A,0.03307533264160156
1A67_A,1CEW_I,0.03620147705078125
3ENL_A,7ENL_A,0.030802488327026367
1ECB_A,1ECC_A,0.03505563735961914
3HVP_A,4HVP_A,0.02277517318725586
3ICD_A,1AI2_A,0.030639171600341797
6LDH_A,1LDM_A,0.0342707633972168
1CRL_A,1THG_A,0.035421133041381836
1BMD_A,4MDH_A,0.02996373176574707
1DQZ_A,1DQY_A,0.0298459529876709
1ORO_A,1STO_A,0.030438899993896484
1RRP_A,1BYU_A,0.03229522705078125
6Q21_A,4Q21_A,0.030557632446289062
1SER_B,1SES_A,0.032228946685791016
2KTQ_A,3KTQ_A,0.03138232231140137
1TRE_A,6TIM_A,0.031314849853515625
1WAS_A,1JMW_A,0.029084444046020508
1CHN_A,3CHY_A,0.031103134155273438
1DCM_A,1D5W_A,0.03055715560913086
1LGR_A,2GLS_A,0.029588937759399414
1PRV_A,1PRU_A,0.03060293197631836
2PHY_A,3PYP_A,0.029497623443603516
1A32_A,1AB3_A,0.030858755111694336
1CAQ_A,1CQR_A,0.03048396110534668
1THV_A,1THI_A,0.03125143051147461
1LB5_A,1LB4_A,0.030293941497802734
1FOX_A,2FOW_A,0.030318498611450195
1LCC_A,1LQC_A,0.030087709426879883
1J74_A,1J7D_A,0.029015064239501953
2C4Q_A,2IZ9_A,0.030129194259643555
1I69_A,1I6A_A,0.029529809951782227
1F8A_B,1PIN_A,0.03149294853210449
9AAT_A,1AMA_A,0.0228709988
8ADH_A,6ADH_A,0.038246002
1JKY_A,1J7N_A,0.03111553192138672
1BU7_A,1JPZ_A,0.10392260551452637
3COX_A,1COY_A,0.03111100196838379
1NJG_A,1NJF_A,0.048415184020996094
1CTS_A,4CTS_A,0.02961897850036621
1A2V_A,1AVK_A,0.03145766258239746
1EFW_A,1G51_B,0.030366897583007812
2EIA_A,1EIA_A,0.0171039999
5ER2_E,4APE_A,0.030764102935791016
2EZA_A,3EZA_A,0.030927658081054688
1GLN_A,1G59_A,0.0309145450592041
2GD1_O,1GD1_O,0.030655622482299805
1BE1_A,1B1A_A,0.029891014099121094
1N8Z_C,1N8Y_C,0.030926942825317383
1I6I_A,1I5S_A,0.030317068099975586
1LCI_A,1BA3_A,0.030853986740112305
1H9K_A,1H9M_A,0.032900094985961914
1JYS_A,1NC3_A,0.04152941703796387
1DV7_A,1DVJ_A,0.03103470802307129
1JQJ_A,2POL_A,0.030384302139282227
1PVU_A,1PVI_A,0.03107285499572754
1UJ1_A,1UK2_A,0.06105613708496094
1NG1_A,1FFH_A,0.0306854248046875
1WRP_R,3WRP_A,0.030051231384277344
1EVK_A,1EVL_A,0.03057122230529785
1AMN_A,1EA5_A,0.030257225036621094
1ANK_A,1AKE_A,0.02829909324645996
1M8P_A,1I2D_A,0.03133797645568848
1BNC_A,1DV2_A,0.10232353210449219
1B47_B,2CBL_A,0.029961109161376953
1HNG_A,1HNF_A,0.030972957611083984
1CLL_A,1CTR_A,0.03164482116699219
1CRX_A,4CRX_A,0.03041863441467285
1L5E_A,1L5B_A,0.031255245208740234
1DAP_B,3DAP_A,0.0295412540435791
1GU0_A,1GU1_A,0.030710458755493164
1JEJ_A,1JG6_A,0.0194240008
1DKX_A,1DKY_A,0.00900699943
1DDT_A,1MDT_A,0.029191017150878906
1DPE_A,1DPP_A,0.0215889998
1N0U_A,1N0V_C,0.030391216278076172
2EFG_A,1FNM_A,0.1621112823486328
1ERK_A,2ERK_A,0.030422449111938477
2NAC_A,2NAD_A,0.026397001
1D9V_A,1MRP_A,0.0167139992
1E88_A,1E8B_A,0.030896663665771484
1JBV_A,1JBW_A,0.0862274169921875
1GGG_A,1WDN_A,0.044718027114868164
1PSD_A,1GDH_A,0.031659841537475586
1EX6_A,1EX7_A,0.00718499906
1OXU_C,1OXS_C,0.030616283416748047
1FTO_B,1FTM_B,0.053244829177856445
1HRD_A,1K89_A,0.03065180778503418
1AON_A,1OEL_A,0.019311998
8OHM_A,1CU1_A,0.10182428359985352
1IBO_A,1IBN_A,0.03048229217529297
1EQ0_A,1HKA_A,0.031250715255737305
1AA7_A,1EA3_A,0.030759811401367188
1IPD_A,1OSJ_A,0.030890703201293945
1BCC_A,2BCC_A,0.03005528450012207
2LAO_A,1LAF_E,0.0104619991
1LFG_A,1LFH_A,0.0867650062
1P7Q_D,1G0X_A,0.030184507369995117
1L97_B,1L96_A,0.030918359756469727
1OMP_A,3MBP_A,0.0198169984
1MML_A,1QAI_A,0.030817270278930664
1LUA_A,1LU9_A,0.04641914367675781
1EJD_A,1A2N_A,0.041231393814086914
1RKM_A,2RKM_A,0.0455089957
1OIB_A,1QUK_A,0.03664898872375488
1PHP_A,13PK_A,0.03777289390563965
1CMK_E,1JLU_E,0.031322479248046875
1BPD_A,2BPG_A,0.0263000019
1K23_A,1K20_A,0.045285940170288086
1NYL_A,1GTR_A,0.16756343841552734
1URP_A,2DRI_A,0.0114540011
1JSA_A,1IKU_A,0.031128644943237305
1TDE_A,1F6M_E,0.0144880004
1FGU_A,1JMC_A,0.0263549984
1MSW_D,1QLN_A,0.030803442001342773
1BP5_A,1A8E_A,0.03125786781311035
1TTP_A,1TTQ_A,0.037003517150878906
1AKZ_A,1SSP_E,0.05270576477050781
1K93_A,1K8T_A,0.04245448112487793
1K92_A,1KP2_A,0.04049992561340332
1HOO_B,1QF5_A,0.04173755645751953
1CF4_A,1GRN_A,0.04181504249572754
1EFT_A,1ETU_A,0.04165029525756836
1GDT_A,2RSL_A,0.00958999991
1GPW_C,1THF_D,0.034954071044921875
1G7T_A,1G7S_A,0.03316998481750488
1DFK_A,1B7T_A,0.03838157653808594
1I7D_A,1D6M_A,0.03619217872619629
1MCP_L,1NCA_L,0.06570601463317871
1IDI_A,1IDG_A,0.04573774337768555
1GP2_A,1CIP_A,0.037079572677612305
7AHL_A,1LKF_A,0.0346684455871582
3HVT_A,2HMI_A,0.03557538986206055
1KLQ_A,1DUJ_A,0.03546476364135742
1PSI_A,7API_A,0.04494333267211914
5AT1_A,8ATC_A,0.04508543014526367
1EER_A,1BUY_A,0.03541159629821777
1TIP_A,1FBT_A,0.04401111602783203
9GPB_A,1GPB_A,0.039923906326293945
2HCO_A,4HHB_A,0.031116247177124023
1JMJ_A,1JMO_A,0.11785554885864258
2PFK_A,1PFK_A,0.045122385025024414
1DKR_A,1DKU_A,0.03587174415588379
1G6O_B,1NLZ_B,0.09362983703613281
1II0_A,1IHU_A,0.04424595832824707
1BHM_A,1BAM_A,0.04555106163024902
1Q1B_A,1Q12_A,0.04551815986633301
1FU1_A,1IK9_A,0.04539680480957031
1IWO_A,1SU4_A,0.03624391555786133
1PJR_A,3PJR_A,0.117120996
1LWT_A,1VDE_A,0.03626751899719238
1IH7_A,1IG9_A,0.130158007
1BJT_A,1BGW_A,0.03501415252685547
