p_pdb,q_pdb,execution_time
1s3i_A,2cfi_A,0.718887
1s3i_A,2bw0_A,0.726348
3k9v_A,3k9v_B,3.187295
2c23_A,2btp_A,1.576225
2bq0_B,2c23_A,1.562669
1k5h_A,1k5h_B,1.648483
1q0q_A,2egh_A,1.677704
1q0q_A,1jvs_A,1.467453
1k5h_A,1q0q_A,1.694891
1o98_A,2ify_A,2.126533
1n9g_A,1n9g_C,1.013947
1gu7_A,1guf_A,1.028937
1h0k_A,1n9g_A,1.016094
1h0k_A,1h0k_B,1.014507
1n9g_D,1n9g_B,1.033952
1n9g_B,1n9g_C,1.00651
2vo4_A,3fhs_A,
1u3p_A,1gx1_C,0.158953
1h48_E,1h47_C,0.174044
1h48_E,1h47_E,0.168837
1ks9_A,1yjq_A,0.887027
2ofp_B,1ks9_A,0.910497
1ks9_A,2ofp_A,0.917887
2ew2_A,2ew2_B,0.865879
5uqo_A,5uqu_A,3.199289
5uqo_A,5uqu_B,3.219203
5uqo_A,6bol_A,3.185671
5uqo_A,5uqr_A,3.219578
5uqo_A,5uqr_B,3.19965
5uqo_A,6bol_B,3.186262
5buq_A,5bur_A,1.623106
5buq_B,5bur_A,1.70103
5buq_A,5buq_B,1.577688
2hun_A,2hun_B,0.915325
2a5a_A,1uk4_A,0.714318
4in1_A,4inh_C,0.311066
4in1_A,4inh_H,0.322723
4in1_A,2iph_A,0.337526
4in1_A,4inh_A,0.297456
4in1_A,4inh_B,0.289665
1uj1_B,1uk2_B,0.706517
7joy_A,7joy_B,0.698568
1uj1_A,1uk2_A,0.717529
3vb3_A,3vb3_B,0.723662
1nr5_A,1nua_A,1.999088
1nva_A,1dqs_A,1.93016
1nvf_A,1nua_A,1.998032
1xah_A,1xag_A,1.528408
1nrx_A,1dqs_A,1.888141
1nva_A,1nvf_A,1.981045
1nr5_A,1nrx_A,2.008254
2xcu_A,2xci_C,1.310001
2xcu_A,2xci_A,1.308752
2xcu_C,2xci_C,1.297567
2xci_A,2xcu_B,1.259671
2xci_A,2xcu_C,1.289536
2xci_B,2xcu_C,1.280373
1h7e_A,1h7g_B,0.471604
1vh3_C,1vh3_B,0.359378
1gqc_A,1h7h_B,0.452895
1vic_A,1vh3_B,0.497002
1h7g_A,1h7g_B,0.46777
2cvz_A,2cvz_D,0.998838
7wnw_B,7wnn_B,1.127503
1ipd_A,1a05_A,1.031622
1xaa_A,1a05_A,1.026024
1hex_A,1a05_A,1.012857
2y3z_A,4f7i_A,1.00686
1ipd_,1osj_A,
1vjd_A,2wzb_A,1.509658
13pk_A,1vjd_A,1.678386
13pk_A,1php_A,1.577797
1vjd_A,1hdi_A,1.541048
1qpg_A,13pk_A,1.694473
13pk_A,16pk_,
13pk_A,1hdi_A,1.620327
3roi_A,4gfp_A,1.501473
2gg4_A,2gga_A,1.791244
3roi_A,3slh_A,1.710322
2gg4_A,2gg6_A,1.829456
2gg4_A,2pqc_A,1.844138
1ska_A,1skb_A,1.558642
1ska_A,1sk9_A,1.628755
2nww_B,3kbc_B,4.903381
2nww_A,3kbc_A,4.863307
2nww_B,2nwx_A,4.90268
2nwx_A,2nww_A,4.795391
2nwl_A,3kbc_A,4.875089
1hpm_A,3d2f_B,1.08576
1lwj_A,1lwh_A,1.486621
3cw8_X,3cw9_A,1.984986
3cw8_X,3cw9_B,1.949183
5bsm_A,5bsr_A,2.261651
1inj_A,1i52_A,0.375845
5tek_A,5ugv_A,0.493074
5tek_A,5tjy_A,0.506794
5tej_A,5tej_B,0.598456
5us6_A,5us6_D,0.535869
4ywj_A,4ywj_B,0.645198
4ly8_A,4m19_A,0.946976
1r8k_A,1ps7_C,0.828288
4epm_A,4ewv_A,2.025291
1rf5_A,1rf4_A,1.710549
1rf5_A,1rf6_A,1.732173
4qqu_A,4l5z_A,6.657415
4qqu_A,4l6h_A,6.48702
1hpu_C,1ush_A,2.13149
1oid_A,1hpu_A,2.213355
1hp1_A,2ush_B,2.126803
1oi8_A,1hpu_A,2.240988
4h1y_P,4h2i_A,2.348224
1ho5_A,1hp1_A,2.252189
1ho5_A,1ush_A,2.165618
1ho5_A,1oi8_A,2.210934
1hpu_A,1oie_A,2.223209
4h1s_A,4h2i_A,2.364632
4h2g_A,4h2i_A,2.336147
1hpu_C,1hp1_A,2.187821
1hpu_C,2ush_B,2.138698
4h2b_A,4h2i_A,2.352983
4h2f_A,4h2i_A,2.347429
1oi8_A,1oid_A,2.153291
1ho5_A,1oid_A,2.22521
1oid_B,1ho5_A,2.215021
6xue_A,4h2i_A,2.22912
1hpu_A,1hp1_A,2.165793
1xck_A,1sx4_A,2.544494
1sjp_A,1sjp_B,1.743738
1hka_,1q0n_A,
1hka_A,1q0n_A,0.169354
3uqd_D,3uqd_B,0.682091
3fwn_B,2zyd_B,3.041852
3fwn_B,2zya_A,3.086075
3fwn_B,2zyd_A,3.190458
2zyd_A,2zyd_B,3.11788
3fwn_A,2zyd_B,3.029691
2zya_B,2zyd_A,3.053805
2zya_A,2zyd_B,3.120404
3fwn_A,2zya_B,3.06086
3fwn_B,3fwn_A,3.098361
2zya_A,2zya_B,3.135048
7xr5_B,7xe8_A,1.077045
2vn1_A,3ihz_A,0.137267
1ck7_A,1gxd_A,3.549704
2ex0_B,2ihz_A,1.659183
2a4n_A,2a4n_B,0.25203
2i13_A,2i13_B,0.221738
3hvp_,4hvp_A,
1oxs_C,1oxt_A,0.983397
3oo6_A,3oo7_A,1.606363
3ooa_A,3oo6_A,1.566668
4qfk_A,4qfl_A,2.058842
6jal_A,6j9w_A,1.714585
6jal_A,6jam_A,1.742102
4ra1_A,4ze8_A,1.789123
3ip5_A,3ip6_A,1.096983
3ip5_A,3ipc_A,1.051783
3ip5_A,3ipa_A,1.070008
3ip5_A,3ip9_A,1.057983
4eq7_A,4euo_A,0.8466
4r72_A,4r73_A,0.873447
6hhb_A,6fjl_A,1.025588
4prs_B,4psh_A,0.369526
4psh_A,4prs_A,0.349237
3k01_A,3k00_A,1.320552
3k01_A,3jzj_A,1.34101
3k01_A,3k02_A,1.326617
1g99_A,1tuu_B,1.386292
1g99_A,1g99_B,1.389437
1ozh_A,1ozh_B,2.936653
1ozg_A,1ozg_B,2.96537
1ozf_A,1ozf_B,2.885454
1ozh_A,1ozf_A,2.83432
1i9b_A,1i9b_B,0.483946
1ry2_A,1pg4_A,3.148156
2wxb_A,2wxb_B,0.452232
2wxb_B,1gs5_A,0.459462
2wxb_A,1gs5_A,0.46001
1oha_A,1gs5_A,0.43426
1oha_A,2wxb_A,0.450576
1oha_A,2wxb_B,0.699707
2rd5_A,2rd5_B,0.558685
3app_,2web_A,
3app_,2wea_A,
3app_,4ape_,
2qts_A,4fz0_A,1.054355
2qts_A,4fz1_A,1.015873
2qts_B,4fz0_B,1.028344
4fz0_A,3hgc_A,
8acn_A,5acn_A,4.643583
8acn_,5acn_,
2dhh_A,2dhh_B,12.526955
2dhh_B,2dhh_C,12.723004
2dr6_A,2dr6_B,12.402301
2gif_A,2gif_C,11.791448
4dx7_A,4dx7_B,12.265662
4dx5_A,4dx5_B,12.236397
2zwh_A,1j6z_A,1.267816
1atn_A,2zwh_A,1.249727
2zwh_A,1esv_A,1.217371
3hbt_A,3lue_A,1.154456
3hbt_A,8a2t_A,1.196987
3hbt_A,2zwh_A,1.220421
2hf4_A,2q36_A,1.077697
2hf4_A,1nwk_A,1.079288
2hf3_A,3daw_A,1.144532
1t44_A,2ff3_B,1.07735
2hf3_A,1hlu_A,1.217147
2hf3_A,3ub5_A,1.124331
3b5u_I,3j0s_I,1.266407
2fxu_A,2hf4_A,1.09571
2pav_A,8a2r_C,1.153688
2fxu_A,1nwk_A,1.112393
2pav_A,1nwk_A,1.106282
2v52_B,8a2r_C,1.168882
1d4x_A,1j6z_A,1.19515
1ijj_A,2zwh_A,1.319196
1qz6_A,1nwk_A,1.076727
3ub5_A,3chw_A,1.252679
3ub5_A,2pav_A,1.121012
3ub5_A,3u4l_A,1.131692
3ub5_A,1j6z_A,1.335796
3u4l_A,3chw_A,1.065019
2p9l_A,2p9k_A,1.615739
2p9l_A,2p9s_A,1.484385
2p9n_A,2p9p_A,1.437098
1u2v_A,1tyq_A,1.5903
2p9l_A,2p9u_A,1.490961
2p9l_A,2p9p_A,1.46696
2p9l_A,2p9i_A,1.586904
1k8k_A,2p9u_A,1.528181
1k8k_A,1u2v_A,1.536783
1k8k_A,2p9p_A,1.551543
1k8k_A,1k8k_C,0.511988
1k8k_A,1tyq_A,1.536881
3o4j_A,3o4j_B,2.994301
3o4j_C,3o4j_D,3.076444
1rx0_A,1rx0_C,1.988361
3c5e_A,2wd9_A,2.433022
3b7w_A,3c5e_A,2.397729
1w1i_E,2ada_,
2ada_,1uw6_A,
2i6a_A,2i6b_A,1.085827
1lio_A,1lik_A,0.865509
1lij_A,1lio_A,0.857365
1lio_A,1lii_A,0.837757
3x2e_B,3x2f_A,1.581501
5tow_A,3x2f_A,1.425507
5tow_A,3x2e_A,1.503703
3x2e_A,3x2f_B,1.671049
3x2f_A,3x2e_D,1.74579
3x2e_A,3x2f_A,1.603527
3x2f_A,3x2e_C,1.655487
3gvp_B,1b3r_A,1.819118
1qiu_B,1qiu_E,0.618504
1cjk_A,2gvd_A,0.270986
4ake_A,1zin_,
4ake_A,1aky_,
2eck_B,4ake_A,0.344744
2eck_A,4ake_A,0.373146
1dvr_A,4ake_A,0.335468
4ake_A,3aky_,
1nks_A,1nks_C,0.365605
4ake_B,1dvr_B,0.390022
4ake_A,2aky_,
2eck_A,4ake_B,0.328663
1ak2_,4ake_B,
4ake_A,1ake_A,0.336472
1dvr_B,1ak2_,
