p_pdb,q_pdb,execution_time
1CBU_B,1C9K_B,0.331052
1E0S_A,2J5X_A,0.245445
1BRD_A,2BRD_A,0.615153
4ICB_A,1CLB_A,0.08474
5DFR_A,4DFR_A,0.172819
1PFH_A,1HDN_A,0.06421
1A8V_A,2A8V_A,0.105802
1RCL_A,1RCK_A,0.108509
1K9K_A,1K9P_A,0.120652
1BJY_A,1BJZ_A,
3TMS_A,2TSC_A,0.51951
2RAN_A,1AXN_A,2.472396
1F3Y_A,1JKN_A,0.193424
1B0O_A,1BEB_A,0.173751
1A03_B,1CNP_A,0.153637
5CRO_A,6CRO_A,0.015496
1A67_A,1CEW_I,0.062763
3ENL_A,7ENL_A,1.57362
1ECB_A,1ECC_A,1.753615
3HVP_A,4HVP_A,0.109459
3ICD_A,1AI2_A,1.185981
6LDH_A,1LDM_A,0.923216
1CRL_A,1THG_A,2.376644
1BMD_A,4MDH_A,1.021361
1DQZ_A,1DQY_A,0.609095
1ORO_A,1STO_A,0.324444
1RRP_A,1BYU_A,0.326598
6Q21_A,4Q21_A,0.220088
1SER_B,1SES_A,1.31201
2KTQ_A,3KTQ_A,2.676557
1TRE_A,6TIM_A,0.616353
1WAS_A,1JMW_A,0.469233
1CHN_A,3CHY_A,0.120074
1DCM_A,1D5W_A,0.130062
1LGR_A,2GLS_A,1.349299
1PRV_A,1PRU_A,0.023572
2PHY_A,3PYP_A,0.1093
1A32_A,1AB3_A,0.154518
1CAQ_A,1CQR_A,0.160891
1THV_A,1THI_A,0.338452
1LB5_A,1LB4_A,0.213477
1FOX_A,2FOW_A,0.046696
1LCC_A,1LQC_A,0.050897
1J74_A,1J7D_A,0.128458
2C4Q_A,2IZ9_A,0.10262
1I69_A,1I6A_A,0.280465
1F8A_B,1PIN_A,0.116924
9AAT_A,1AMA_A,1.277148
8ADH_A,6ADH_A,1.019712
1JKY_A,1J7N_A,5.9012
1BU7_A,1JPZ_A,2.510834
3COX_A,1COY_A,1.519536
1NJG_A,1NJF_A,0.514597
1CTS_A,4CTS_A,2.590918
1A2V_A,1AVK_A,2.992286
1EFW_A,1G51_B,2.291305
2EIA_A,1EIA_A,0.718394
5ER2_E,4APE_A,1.020459
2EZA_A,3EZA_A,0.734829
1GLN_A,1G59_A,2.018218
2GD1_O,1GD1_O,0.872253
1BE1_A,1B1A_A,0.144573
1N8Z_C,1N8Y_C,3.966129
1I6I_A,1I5S_A,0.570778
1LCI_A,1BA3_A,1.70469
1H9K_A,1H9M_A,0.172884
1JYS_A,1NC3_A,0.337673
1DV7_A,1DVJ_A,0.472416
1JQJ_A,2POL_A,0.988096
1PVU_A,1PVI_A,0.128511
1UJ1_A,1UK2_A,0.64708
1NG1_A,1FFH_A,0.805942
1WRP_R,3WRP_A,0.208207
1EVK_A,1EVL_A,0.973356
1AMN_A,1EA5_A,2.087693
1ANK_A,1AKE_A,0.325594
1M8P_A,1I2D_A,2.224925
1BNC_A,1DV2_A,1.290031
1B47_B,2CBL_A,1.259204
1HNG_A,1HNF_A,0.327108
1CLL_A,1CTR_A,0.214811
1CRX_A,4CRX_A,1.006613
1L5E_A,1L5B_A,0.063787
1DAP_B,3DAP_A,0.794259
1GU0_A,1GU1_A,0.212792
1JEJ_A,1JG6_A,1.078936
1DKX_A,1DKY_A,0.418301
1DDT_A,1MDT_A,1.860971
1DPE_A,1DPP_A,1.714772
1N0U_A,1N0V_C,3.884217
2EFG_A,1FNM_A,2.252179
1ERK_A,2ERK_A,
2NAC_A,2NAD_A,1.169042
1D9V_A,1MRP_A,0.760312
1E88_A,1E8B_A,0.227295
1JBV_A,1JBW_A,1.048613
1GGG_A,1WDN_A,0.332911
1PSD_A,1GDH_A,1.133744
1EX6_A,1EX7_A,0.235777
1OXU_C,1OXS_C,0.891001
