pdb,execution_time
pdb6uux_A_hinge_8_sigma1.0.pdb,0.475616
pdb6uux_A_hinge_3_sigma1.0.pdb,0.509755
pdb6uux_A_hinge_1_sigma1.0.pdb,0.436501
pdb6uux_A_hinge_8_sigma1.5.pdb,0.191966
pdb6uux_A_hinge_2_sigma0.5.pdb,0.67145
pdb6uux_A_hinge_1_sigma0.5.pdb,0.723545
pdb6uux_A_hinge_1_sigma1.5.pdb,0.245717
pdb6uux_A_hinge_2_sigma1.0.pdb,0.505886
pdb6uux_A_hinge_5_sigma1.5.pdb,0.267896
pdb6uux_A_hinge_0_sigma1.5.pdb,0.241772
pdb6uux_A_hinge_9_sigma0.5.pdb,0.618663
pdb6uux_A_hinge_4_sigma0.5.pdb,0.710449
pdb6uux_A_hinge_4_sigma1.5.pdb,0.24602
pdb6uux_A_hinge_3_sigma1.5.pdb,0.224419
pdb6uux_A_hinge_7_sigma0.5.pdb,0.613695
pdb6uux_A_hinge_5_sigma1.0.pdb,0.406949
pdb6uux_A_hinge_0_sigma0.5.pdb,0.681267
pdb6uux_A_hinge_7_sigma1.0.pdb,0.491289
pdb6uux_A_hinge_2_sigma1.5.pdb,0.237482
pdb6uux_A_hinge_8_sigma0.5.pdb,0.665966
pdb6uux_A_hinge_0_sigma1.0.pdb,0.460487
pdb6uux_A_hinge_6_sigma1.0.pdb,0.496371
pdb6uux_A_hinge_7_sigma1.5.pdb,0.252514
pdb6uux_A_hinge_10_sigma1.5.pdb,0.181894
pdb6uux_A_hinge_10_sigma0.5.pdb,0.614918
pdb6uux_A_hinge_10_sigma1.0.pdb,0.40153
pdb6uux_A_hinge_5_sigma0.5.pdb,0.748857
pdb6uux_A_hinge_3_sigma0.5.pdb,0.693576
pdb6uux_A_hinge_6_sigma1.5.pdb,0.207622
pdb6uux_A_hinge_4_sigma1.0.pdb,0.508209
pdb6uux_A_hinge_9_sigma1.5.pdb,0.165377
pdb6uux_A_hinge_6_sigma0.5.pdb,0.614554
pdb6uux_A_hinge_9_sigma1.0.pdb,0.499803
pdb3ani_A_hinge_10_sigma1.0.pdb,1.058485
pdb3ani_A_hinge_5_sigma1.5.pdb,0.642461
pdb3ani_A_hinge_6_sigma1.0.pdb,1.215777
pdb3ani_A_hinge_7_sigma1.5.pdb,0.555541
pdb3ani_A_hinge_10_sigma0.5.pdb,1.475883
pdb3ani_A_hinge_9_sigma1.5.pdb,0.520825
pdb3ani_A_hinge_4_sigma1.0.pdb,1.177741
pdb3ani_A_hinge_2_sigma0.5.pdb,1.673144
pdb3ani_A_hinge_1_sigma0.5.pdb,1.654412
pdb3ani_A_hinge_2_sigma1.0.pdb,1.243321
