p_pdb_id,q_pdb_id,monge_rate,monge_rate_1
1cbu,1c9k,0.514773,0.733268
1e0s,2j5x,0.59599,0.795
1brd,2brd,0.550365,0.560267
4icb,1clb,0.594595,0.498288
5dfr,4dfr,0.575842,0.723547
1pfh,1hdn,0.606713,0.629136
1a8v,2a8v,0.541719,0.686753
1rcl,1rck,0.522527,0.475039
1k9k,1k9p,0.609295,0.691753
1bjy,1bjz,0.520165,0.689288
3tms,2tsc,0.5598,0.706986
2ran,1axn,0.568756,0.879394
1f3y,1jkn,0.535551,0.606567
1b0o,1beb,0.468817,0.543372
1a03,1cnp,0.582272,0.624904
5cro,6cro,0.657062,0.794734
1a67,1cew,0.58117,0.695987
3enl,7enl,0.534367,0.688954
1ecb,1ecc,0.518064,0.71644
3hvp,4hvp,0.560997,0.622266
3icd,1ai2,0.573628,0.696276
6ldh,1ldm,0.480002,0.5864
1crl,1thg,0.523636,0.561045
1bmd,4mdh,0.486305,0.564675
1dqz,1dqy,0.516155,0.721132
1oro,1sto,0.486901,0.506444
1rrp,1byu,0.614472,0.840275
6q21,4q21,0.488594,0.61148
1ser,1ses,0.565241,0.764971
2ktq,3ktq,0.541208,0.735089
1tre,6tim,0.540257,0.563425
1was,1jmw,0.538687,0.627403
1chn,3chy,0.528,0.698125
1dcm,1d5w,0.482913,0.500022
1lgr,2gls,0.498968,0.748353
1prv,1pru,0.674026,0.815783
2phy,3pyp,0.511613,0.73584
1a32,1ab3,0.707843,0.877725
1caq,1cqr,0.511905,0.549965
1thv,1thi,0.513578,0.609354
1lb5,1lb4,0.504072,0.6288
1fox,2fow,0.543509,0.656749
1lcc,1lqc,0.657255,0.751693
1j74,1j7d,0.551454,0.704082
2c4q,2iz9,0.535005,0.700701
1i69,1i6a,0.495619,0.578033
1f8a,1pin,0.550182,0.589672
9aat,1ama,0.593678,0.793416
8adh,6adh,0.596307,0.817288
1jky,1j7n,0.548634,0.85015
1bu7,1jpz,0.49956,0.601858
3cox,1coy,0.543615,0.769277
