p_pdb_id,Residue length,actual_hinge_cnt,sigma,delta_g
pdb2b44_A_original_CA_coordinates.csv,129,3,0.5,3126.8
pdb6gjy_A_original_CA_coordinates.csv,165,3,0.5,482.367
pdb3hc4_H_original_CA_coordinates.csv,212,3,0.5,1783.16
pdb7lg4_A_original_CA_coordinates.csv,227,3,0.5,12610
pdb2lgh_A_original_CA_coordinates.csv,144,3,0.5,214.921
pdb7wxl_A_original_CA_coordinates.csv,310,3,0.5,9237.84
pdb7ycq_A_original_CA_coordinates.csv,111,3,0.5,2249.49
pdb5qfq_A_original_CA_coordinates.csv,284,3,0.5,7128.57
pdb4eem_A_original_CA_coordinates.csv,273,3,0.5,2370.06
pdb4whn_A_original_CA_coordinates.csv,170,3,0.5,6067.14
pdb3ju3_A_original_CA_coordinates.csv,113,3,0.5,105.926
pdb6i62_A_original_CA_coordinates.csv,224,3,0.5,2230.33
pdb4lgn_A_original_CA_coordinates.csv,739,3,0.5,4853.96
pdb4yjv_A_original_CA_coordinates.csv,263,3,0.5,4319.4
pdb2edl_A_original_CA_coordinates.csv,110,3,0.5,1017.93
pdb1zja_A_original_CA_coordinates.csv,557,3,0.5,4456.2
pdb8h63_A_original_CA_coordinates.csv,462,3,0.5,3704.66
pdb1kz1_A_original_CA_coordinates.csv,150,3,0.5,1204.39
pdb6mt3_A_original_CA_coordinates.csv,276,3,0.5,3470.24
pdb4jsf_A_original_CA_coordinates.csv,407,3,0.5,5285.88
pdb5ecw_A_original_CA_coordinates.csv,132,3,0.5,1294.32
pdb7tbr_A_original_CA_coordinates.csv,142,3,0.5,513.235
pdb6y9f_A_original_CA_coordinates.csv,288,3,0.5,4966.25
pdb8e8j_A_original_CA_coordinates.csv,425,3,0.5,3181.75
pdb3ze8_A_original_CA_coordinates.csv,277,3,0.5,3151.76
pdb2j4m_A_original_CA_coordinates.csv,100,3,0.5,490.701
pdb2lc9_A_original_CA_coordinates.csv,164,3,0.5,1919.43
pdb2hdj_A_original_CA_coordinates.csv,322,3,0.5,8454.12
pdb3uiq_A_original_CA_coordinates.csv,901,3,0.5,606.165
pdb3h54_A_original_CA_coordinates.csv,387,3,0.5,8114.07
pdb4q81_A_original_CA_coordinates.csv,257,3,0.5,8431.16
pdb8f7h_A_original_CA_coordinates.csv,428,3,0.5,3140.81
pdb5qzq_A_original_CA_coordinates.csv,237,3,0.5,2442.4
pdb3bvl_A_original_CA_coordinates.csv,172,3,0.5,820.668
pdb7lsa_A_original_CA_coordinates.csv,760,3,0.5,15981.9
pdb6pvz_A_original_CA_coordinates.csv,188,3,0.5,1610.57
pdb7kua_A_original_CA_coordinates.csv,149,3,0.5,986.534
pdb4wpn_A_original_CA_coordinates.csv,494,3,0.5,38556.6
pdb5hhj_A_original_CA_coordinates.csv,294,3,0.5,8992.27
pdb4idz_A_original_CA_coordinates.csv,437,3,0.5,25046.6
pdb3nfa_A_original_CA_coordinates.csv,149,3,0.5,4570.37
