p_pdb_id,Residue length,actual_hinge_cnt,sigma,average_delta_g
pdb2b44_A_original_CA_coordinates.csv,129,4,0.5,0.777786
pdb6gjy_A_original_CA_coordinates.csv,165,4,0.5,38.3508
pdb3hc4_H_original_CA_coordinates.csv,212,4,0.5,4.99636
pdb7lg4_A_original_CA_coordinates.csv,227,4,0.5,5.4773
pdb2lgh_A_original_CA_coordinates.csv,144,4,0.5,27.5125
pdb7wxl_A_original_CA_coordinates.csv,310,4,0.5,15.539
pdb7ycq_A_original_CA_coordinates.csv,111,4,0.5,35.9681
pdb5qfq_A_original_CA_coordinates.csv,284,4,0.5,232.136
pdb4eem_A_original_CA_coordinates.csv,273,4,0.5,3.95021
pdb4whn_A_original_CA_coordinates.csv,170,4,0.5,8.06594
pdb3ju3_A_original_CA_coordinates.csv,113,4,0.5,0.535733
pdb6i62_A_original_CA_coordinates.csv,224,4,0.5,0.85959
pdb4lgn_A_original_CA_coordinates.csv,739,4,0.5,2.36144
pdb4yjv_A_original_CA_coordinates.csv,263,4,0.5,6.81027
pdb2edl_A_original_CA_coordinates.csv,110,4,0.5,37.6136
pdb1zja_A_original_CA_coordinates.csv,557,4,0.5,60.7943
pdb8h63_A_original_CA_coordinates.csv,462,4,0.5,146.674
pdb1kz1_A_original_CA_coordinates.csv,150,4,0.5,0.0370484
pdb6mt3_A_original_CA_coordinates.csv,276,4,0.5,26.5482
pdb4jsf_A_original_CA_coordinates.csv,407,4,0.5,30.2194
pdb5ecw_A_original_CA_coordinates.csv,132,4,0.5,0.537487
pdb7tbr_A_original_CA_coordinates.csv,142,4,0.5,1.29178
pdb6y9f_A_original_CA_coordinates.csv,288,4,0.5,12.1365
pdb8e8j_A_original_CA_coordinates.csv,425,4,0.5,17.608
pdb3ze8_A_original_CA_coordinates.csv,277,4,0.5,1.33985
pdb2lc9_A_original_CA_coordinates.csv,164,4,0.5,13.6739
pdb2hdj_A_original_CA_coordinates.csv,322,4,0.5,9.99736
pdb3uiq_A_original_CA_coordinates.csv,901,4,0.5,2.77359
pdb3h54_A_original_CA_coordinates.csv,387,4,0.5,12.4445
pdb4q81_A_original_CA_coordinates.csv,257,4,0.5,290.497
pdb8f7h_A_original_CA_coordinates.csv,428,4,0.5,38.8317
pdb5qzq_A_original_CA_coordinates.csv,237,4,0.5,41.4316
pdb3bvl_A_original_CA_coordinates.csv,172,4,0.5,0.0958109
pdb7lsa_A_original_CA_coordinates.csv,760,4,0.5,0.492045
pdb6pvz_A_original_CA_coordinates.csv,188,4,0.5,32.8763
pdb7kua_A_original_CA_coordinates.csv,149,4,0.5,3.36476
pdb4wpn_A_original_CA_coordinates.csv,494,4,0.5,157.902
pdb5hhj_A_original_CA_coordinates.csv,294,4,0.5,5.37339
pdb4idz_A_original_CA_coordinates.csv,437,4,0.5,13.7069
pdb3nfa_A_original_CA_coordinates.csv,149,4,0.5,0.326804
pdb8j0v_X_original_CA_coordinates.csv,173,4,0.5,10.6466
pdb6z8j_A_original_CA_coordinates.csv,279,4,0.5,87.3629
pdb3mfs_A_original_CA_coordinates.csv,303,4,0.5,0.524825
pdb2bid_A_original_CA_coordinates.csv,197,4,0.5,11.6151
pdb4icy_A_original_CA_coordinates.csv,462,4,0.5,3569.61
pdb4y4b_A_original_CA_coordinates.csv,330,4,0.5,6.64045
pdb4tjw_A_original_CA_coordinates.csv,199,4,0.5,11.6837
pdb5nkl_A_original_CA_coordinates.csv,540,4,0.5,130.105
pdb5yjk_A_original_CA_coordinates.csv,221,4,0.5,23.8086
pdb5chu_A_original_CA_coordinates.csv,359,4,0.5,87.5915
pdb7ea2_B_original_CA_coordinates.csv,107,4,0.5,0.646307
pdb6gvi_A_original_CA_coordinates.csv,910,4,0.5,0.772774
pdb3k50_A_original_CA_coordinates.csv,376,4,0.5,20.5223
pdb1gx4_A_original_CA_coordinates.csv,287,4,0.5,27.4654
pdb7p49_A_original_CA_coordinates.csv,276,4,0.5,55.0212
pdb8cif_H_original_CA_coordinates.csv,255,4,0.5,106.867
pdb6ir6_A_original_CA_coordinates.csv,232,4,0.5,114.45
pdb4g4q_A_original_CA_coordinates.csv,254,4,0.5,0.749341
pdb4zgj_A_original_CA_coordinates.csv,204,4,0.5,61.8602
pdb4p31_A_original_CA_coordinates.csv,230,4,0.5,302.849
pdb6hos_A_original_CA_coordinates.csv,213,4,0.5,3.00617
pdb2f8d_A_original_CA_coordinates.csv,221,4,0.5,36.7649
pdb2w8h_A_original_CA_coordinates.csv,322,4,0.5,76.1173
pdb8elt_A_original_CA_coordinates.csv,166,4,0.5,0.304586
pdb6qi3_A_original_CA_coordinates.csv,298,4,0.5,21.4173
pdb4n2r_A_original_CA_coordinates.csv,306,4,0.5,123.797
pdb4nnm_A_original_CA_coordinates.csv,111,4,0.5,1.55446
pdb4o04_A_original_CA_coordinates.csv,208,4,0.5,52.7971
pdb2jbh_A_original_CA_coordinates.csv,207,4,0.5,5.27591
pdb7xza_A_original_CA_coordinates.csv,443,4,0.5,49.8597
pdb7lco_A_original_CA_coordinates.csv,306,4,0.5,131.228
pdb2y6g_A_original_CA_coordinates.csv,167,4,0.5,11.0591
pdb4jrh_A_original_CA_coordinates.csv,412,4,0.5,28.1927
pdb6qq9_A_original_CA_coordinates.csv,225,4,0.5,1.80696
pdb3paj_A_original_CA_coordinates.csv,302,4,0.5,20.0758
pdb7m26_A_original_CA_coordinates.csv,258,4,0.5,16.2766
pdb2boj_A_original_CA_coordinates.csv,114,4,0.5,22.0592
pdb7b82_A_original_CA_coordinates.csv,105,4,0.5,0.633761
pdb8q1n_A_original_CA_coordinates.csv,320,4,0.5,4.87879
pdb7fzt_A_original_CA_coordinates.csv,130,4,0.5,5.3855
pdb6ach_A_original_CA_coordinates.csv,364,4,0.5,8.87414
pdb3kae_A_original_CA_coordinates.csv,225,4,0.5,22.4904
pdb5hvy_A_original_CA_coordinates.csv,335,4,0.5,126.844
pdb6iv7_A_original_CA_coordinates.csv,386,4,0.5,168.204
pdb5n0g_A_original_CA_coordinates.csv,208,4,0.5,1.55947
pdb6g8t_A_original_CA_coordinates.csv,106,4,0.5,1.8893
pdb4cn9_A_original_CA_coordinates.csv,397,4,0.5,417.648
pdb6z2o_A_original_CA_coordinates.csv,354,4,0.5,143.782
pdb6t5l_A_original_CA_coordinates.csv,224,4,0.5,10.6199
pdb4r66_A_original_CA_coordinates.csv,326,4,0.5,43.3462
pdb5pjt_A_original_CA_coordinates.csv,331,4,0.5,57.3491
pdb6lul_B_original_CA_coordinates.csv,224,4,0.5,166.864
pdb2rr6_A_original_CA_coordinates.csv,168,4,0.5,1.11724
pdb3ioj_A_original_CA_coordinates.csv,284,4,0.5,54.8835
pdb3ckg_A_original_CA_coordinates.csv,236,4,0.5,13.8038
pdb5uav_A_original_CA_coordinates.csv,278,4,0.5,8.64606
pdb8i4j_A_original_CA_coordinates.csv,220,4,0.5,8.89555
pdb6lqo_A_original_CA_coordinates.csv,258,4,0.5,44.7752
pdb3fj1_A_original_CA_coordinates.csv,326,4,0.5,27.6932
pdb4pg7_A_original_CA_coordinates.csv,402,4,0.5,147.729
pdb2qnl_A_original_CA_coordinates.csv,159,4,0.5,4.33901
pdb7tl4_A_original_CA_coordinates.csv,184,4,0.5,167.498
pdb6prc_C_original_CA_coordinates.csv,332,4,0.5,14.7247
pdb1fdt_A_original_CA_coordinates.csv,285,4,0.5,41.7703
pdb6c8q_A_original_CA_coordinates.csv,268,4,0.5,294.67
pdb6oe6_A_original_CA_coordinates.csv,127,4,0.5,21.2392
pdb4l7t_A_original_CA_coordinates.csv,490,4,0.5,2.7566
pdb6btf_A_original_CA_coordinates.csv,317,4,0.5,0.137459
pdb5r96_A_original_CA_coordinates.csv,347,4,0.5,245.415
pdb3smv_A_original_CA_coordinates.csv,233,4,0.5,7.27532
pdb2fvv_A_original_CA_coordinates.csv,135,4,0.5,11.6064
pdb3cg6_A_original_CA_coordinates.csv,131,4,0.5,5.0644
pdb3hob_M_original_CA_coordinates.csv,156,4,0.5,9.1063
pdb3zjf_A_original_CA_coordinates.csv,322,4,0.5,250.106
pdb8tuv_A_original_CA_coordinates.csv,425,4,0.5,16.5721
pdb4ok3_A_original_CA_coordinates.csv,426,4,0.5,18.9132
pdb5ii8_A_original_CA_coordinates.csv,131,4,0.5,27.7766
pdb5v0r_A_original_CA_coordinates.csv,145,4,0.5,113.185
pdb7lp0_A_original_CA_coordinates.csv,111,4,0.5,2.72366
pdb3as5_A_original_CA_coordinates.csv,183,4,0.5,0.449233
pdb7bqi_A_original_CA_coordinates.csv,174,4,0.5,7.98509
pdb4yk9_A_original_CA_coordinates.csv,142,4,0.5,18.1972
pdb4dl2_A_original_CA_coordinates.csv,428,4,0.5,3.91853
pdb6y4w_A_original_CA_coordinates.csv,341,4,0.5,55.5311
pdb4ega_A_original_CA_coordinates.csv,522,4,0.5,220.931
pdb3ndo_A_original_CA_coordinates.csv,225,4,0.5,19.7514
pdb1x7x_A_original_CA_coordinates.csv,370,4,0.5,36.1161
pdb6zzj_A_original_CA_coordinates.csv,240,4,0.5,71.2574
pdb2vfo_A_original_CA_coordinates.csv,555,4,0.5,55.8541
pdb5q3r_A_original_CA_coordinates.csv,341,4,0.5,281.804
pdb7lmf_A_original_CA_coordinates.csv,305,4,0.5,115.902
pdb7vj6_A_original_CA_coordinates.csv,453,4,0.5,1.87607
pdb6n0q_A_original_CA_coordinates.csv,257,4,0.5,99.0405
pdb5moc_A_original_CA_coordinates.csv,227,4,0.5,19.6991
pdb3ugq_A_original_CA_coordinates.csv,426,4,0.5,50.7784
pdb1ak7_A_original_CA_coordinates.csv,174,4,0.5,156.151
pdb2c0c_A_original_CA_coordinates.csv,353,4,0.5,73.5827
pdb5yrd_A_original_CA_coordinates.csv,241,4,0.5,2.79558
pdb3ch2_X_original_CA_coordinates.csv,256,4,0.5,21.6246
pdb6aw6_A_original_CA_coordinates.csv,216,4,0.5,11.9725
pdb3vcz_A_original_CA_coordinates.csv,127,4,0.5,42.8094
pdb3x2k_A_original_CA_coordinates.csv,180,4,0.5,27.9467
pdb4qcd_A_original_CA_coordinates.csv,242,4,0.5,48.0445
pdb5r86_A_original_CA_coordinates.csv,149,4,0.5,6.5277
pdb4yvy_A_original_CA_coordinates.csv,256,4,0.5,14.9642
pdb5hf1_A_original_CA_coordinates.csv,117,4,0.5,10.1736
pdb7qwj_A_original_CA_coordinates.csv,298,4,0.5,28.6327
pdb7l3i_A_original_CA_coordinates.csv,162,4,0.5,1.4931
pdb5sua_A_original_CA_coordinates.csv,237,4,0.5,34.9516
pdb7p1q_A_original_CA_coordinates.csv,383,4,0.5,7.96732
pdb2lll_A_original_CA_coordinates.csv,121,4,0.5,16.3923
pdb4lil_A_original_CA_coordinates.csv,370,4,0.5,49.2243
pdb5c0u_A_original_CA_coordinates.csv,208,4,0.5,41.6653
pdb4w7k_A_original_CA_coordinates.csv,446,4,0.5,82.5669
pdb1koi_A_original_CA_coordinates.csv,184,4,0.5,142.784
pdb2c4e_A_original_CA_coordinates.csv,299,4,0.5,81.6469
pdb5jcz_A_original_CA_coordinates.csv,172,4,0.5,11.7554
pdb7t5r_A_original_CA_coordinates.csv,257,4,0.5,148.374
pdb4ptm_A_original_CA_coordinates.csv,397,4,0.5,57.9254
pdb6y80_A_original_CA_coordinates.csv,347,4,0.5,26.5803
pdb4dqj_A_original_CA_coordinates.csv,137,4,0.5,44.2233
pdb6tpc_A_original_CA_coordinates.csv,305,4,0.5,5.77536
pdb8d9c_A_original_CA_coordinates.csv,354,4,0.5,127.975
pdb7mk3_A_original_CA_coordinates.csv,361,4,0.5,14.963
pdb6pna_A_original_CA_coordinates.csv,415,4,0.5,18.992
pdb3zpm_A_original_CA_coordinates.csv,211,4,0.5,9.21013
pdb3vg1_A_original_CA_coordinates.csv,376,4,0.5,239.649
pdb6tbe_A_original_CA_coordinates.csv,116,4,0.5,32.6139
pdb5qrh_A_original_CA_coordinates.csv,171,4,0.5,0.933826
pdb3gt4_A_original_CA_coordinates.csv,279,4,0.5,0.322006
pdb4zcg_A_original_CA_coordinates.csv,342,4,0.5,43.0881
pdb5vcy_A_original_CA_coordinates.csv,296,4,0.5,19.7889
pdb5ymx_A_original_CA_coordinates.csv,202,4,0.5,84.8781
pdb7pj8_A_original_CA_coordinates.csv,161,4,0.5,101.575
pdb1evq_A_original_CA_coordinates.csv,304,4,0.5,4.13841
pdb5gr2_A_original_CA_coordinates.csv,755,4,0.5,15.1727
pdb5nu9_A_original_CA_coordinates.csv,174,4,0.5,2.51611
pdb5ggi_A_original_CA_coordinates.csv,394,4,0.5,0.304937
pdb6l72_A_original_CA_coordinates.csv,294,4,0.5,61.2499
pdb6ood_A_original_CA_coordinates.csv,155,4,0.5,157.686
pdb5psl_A_original_CA_coordinates.csv,121,4,0.5,10.6904
pdb5kn9_A_original_CA_coordinates.csv,222,4,0.5,58.0685
pdb8pku_A_original_CA_coordinates.csv,290,4,0.5,11.8115
pdb3f1p_A_original_CA_coordinates.csv,114,4,0.5,0.747506
pdb5d7d_A_original_CA_coordinates.csv,193,4,0.5,51.4378
pdb6fmw_A_original_CA_coordinates.csv,270,4,0.5,2.39591
pdb6cf8_A_original_CA_coordinates.csv,510,4,0.5,363.134
pdb4hh5_A_original_CA_coordinates.csv,163,4,0.5,5.6813
pdb5qzz_A_original_CA_coordinates.csv,237,4,0.5,0.299874
pdb1k0x_A_original_CA_coordinates.csv,108,4,0.5,9.13004
pdb2mxx_A_original_CA_coordinates.csv,179,4,0.5,68.8335
