p_pdb_id,Residue length,actual_hinge_cnt,sigma,monge_rate_1
pdb2b44_A_original_CA_coordinates.csv,129,4,0.5,0.944905
pdb6gjy_A_original_CA_coordinates.csv,165,4,0.5,0.886506
pdb3hc4_H_original_CA_coordinates.csv,212,4,0.5,0.941192
pdb7lg4_A_original_CA_coordinates.csv,227,4,0.5,0.953705
pdb2lgh_A_original_CA_coordinates.csv,144,4,0.5,0.903623
pdb7wxl_A_original_CA_coordinates.csv,310,4,0.5,0.932774
pdb7ycq_A_original_CA_coordinates.csv,111,4,0.5,0.915515
pdb5qfq_A_original_CA_coordinates.csv,284,4,0.5,0.848648
pdb4eem_A_original_CA_coordinates.csv,273,4,0.5,0.940266
pdb4whn_A_original_CA_coordinates.csv,170,4,0.5,0.943815
pdb3ju3_A_original_CA_coordinates.csv,113,4,0.5,0.972107
pdb6i62_A_original_CA_coordinates.csv,224,4,0.5,0.979662
pdb4lgn_A_original_CA_coordinates.csv,739,4,0.5,0.965315
pdb4yjv_A_original_CA_coordinates.csv,263,4,0.5,0.950453
pdb2edl_A_original_CA_coordinates.csv,110,4,0.5,0.938104
pdb1zja_A_original_CA_coordinates.csv,557,4,0.5,0.962181
pdb8h63_A_original_CA_coordinates.csv,462,4,0.5,0.866894
pdb1kz1_A_original_CA_coordinates.csv,150,4,0.5,0.977375
pdb6mt3_A_original_CA_coordinates.csv,276,4,0.5,0.940868
pdb4jsf_A_original_CA_coordinates.csv,407,4,0.5,0.943614
pdb5ecw_A_original_CA_coordinates.csv,132,4,0.5,0.959457
pdb7tbr_A_original_CA_coordinates.csv,142,4,0.5,0.963938
pdb6y9f_A_original_CA_coordinates.csv,288,4,0.5,0.936629
pdb8e8j_A_original_CA_coordinates.csv,425,4,0.5,0.9007
pdb3ze8_A_original_CA_coordinates.csv,277,4,0.5,0.978254
pdb2lc9_A_original_CA_coordinates.csv,164,4,0.5,0.887106
pdb2hdj_A_original_CA_coordinates.csv,322,4,0.5,0.956691
pdb3uiq_A_original_CA_coordinates.csv,901,4,0.5,0.904345
pdb3h54_A_original_CA_coordinates.csv,387,4,0.5,0.953929
pdb4q81_A_original_CA_coordinates.csv,257,4,0.5,0.8753
pdb8f7h_A_original_CA_coordinates.csv,428,4,0.5,0.947699
pdb5qzq_A_original_CA_coordinates.csv,237,4,0.5,0.91399
pdb3bvl_A_original_CA_coordinates.csv,172,4,0.5,0.982383
pdb7lsa_A_original_CA_coordinates.csv,760,4,0.5,0.972551
pdb6pvz_A_original_CA_coordinates.csv,188,4,0.5,0.954251
pdb7kua_A_original_CA_coordinates.csv,149,4,0.5,0.94771
pdb4wpn_A_original_CA_coordinates.csv,494,4,0.5,0.900159
pdb5hhj_A_original_CA_coordinates.csv,294,4,0.5,0.956677
pdb4idz_A_original_CA_coordinates.csv,437,4,0.5,0.951804
pdb3nfa_A_original_CA_coordinates.csv,149,4,0.5,0.959465
pdb8j0v_X_original_CA_coordinates.csv,173,4,0.5,0.932331
pdb6z8j_A_original_CA_coordinates.csv,279,4,0.5,0.8639
pdb3mfs_A_original_CA_coordinates.csv,303,4,0.5,0.975883
pdb2bid_A_original_CA_coordinates.csv,197,4,0.5,0.925758
pdb4icy_A_original_CA_coordinates.csv,462,4,0.5,0.786041
pdb4y4b_A_original_CA_coordinates.csv,330,4,0.5,0.945547
pdb4tjw_A_original_CA_coordinates.csv,199,4,0.5,0.896462
pdb5nkl_A_original_CA_coordinates.csv,540,4,0.5,0.947393
pdb5yjk_A_original_CA_coordinates.csv,221,4,0.5,0.890284
pdb5chu_A_original_CA_coordinates.csv,359,4,0.5,0.928618
pdb7ea2_B_original_CA_coordinates.csv,107,4,0.5,0.96939
pdb6gvi_A_original_CA_coordinates.csv,910,4,0.5,0.937648
pdb3k50_A_original_CA_coordinates.csv,376,4,0.5,0.941456
pdb1gx4_A_original_CA_coordinates.csv,287,4,0.5,0.952898
pdb7p49_A_original_CA_coordinates.csv,276,4,0.5,0.930361
pdb8cif_H_original_CA_coordinates.csv,255,4,0.5,0.896385
pdb6ir6_A_original_CA_coordinates.csv,232,4,0.5,0.848424
pdb4g4q_A_original_CA_coordinates.csv,254,4,0.5,0.906444
pdb4zgj_A_original_CA_coordinates.csv,204,4,0.5,0.935836
pdb4p31_A_original_CA_coordinates.csv,230,4,0.5,0.874691
pdb6hos_A_original_CA_coordinates.csv,213,4,0.5,0.96903
pdb2f8d_A_original_CA_coordinates.csv,221,4,0.5,0.928424
pdb2w8h_A_original_CA_coordinates.csv,322,4,0.5,0.920165
pdb8elt_A_original_CA_coordinates.csv,166,4,0.5,0.970296
pdb6qi3_A_original_CA_coordinates.csv,298,4,0.5,0.927969
pdb4n2r_A_original_CA_coordinates.csv,306,4,0.5,0.895144
pdb4nnm_A_original_CA_coordinates.csv,111,4,0.5,0.954352
pdb4o04_A_original_CA_coordinates.csv,208,4,0.5,0.954309
pdb2jbh_A_original_CA_coordinates.csv,207,4,0.5,0.956835
pdb7xza_A_original_CA_coordinates.csv,443,4,0.5,0.938999
pdb7lco_A_original_CA_coordinates.csv,306,4,0.5,0.857636
pdb2y6g_A_original_CA_coordinates.csv,167,4,0.5,0.919513
pdb4jrh_A_original_CA_coordinates.csv,412,4,0.5,0.938579
pdb6qq9_A_original_CA_coordinates.csv,225,4,0.5,0.966308
pdb3paj_A_original_CA_coordinates.csv,302,4,0.5,0.925423
pdb7m26_A_original_CA_coordinates.csv,258,4,0.5,0.921706
pdb2boj_A_original_CA_coordinates.csv,114,4,0.5,0.794278
pdb7b82_A_original_CA_coordinates.csv,105,4,0.5,0.977435
pdb8q1n_A_original_CA_coordinates.csv,320,4,0.5,0.942207
pdb7fzt_A_original_CA_coordinates.csv,130,4,0.5,0.962004
pdb6ach_A_original_CA_coordinates.csv,364,4,0.5,0.954454
pdb3kae_A_original_CA_coordinates.csv,225,4,0.5,0.927244
pdb5hvy_A_original_CA_coordinates.csv,335,4,0.5,0.905096
pdb6iv7_A_original_CA_coordinates.csv,386,4,0.5,0.938873
pdb5n0g_A_original_CA_coordinates.csv,208,4,0.5,0.968652
pdb6g8t_A_original_CA_coordinates.csv,106,4,0.5,0.960554
pdb4cn9_A_original_CA_coordinates.csv,397,4,0.5,0.785453
pdb6z2o_A_original_CA_coordinates.csv,354,4,0.5,0.916725
pdb6t5l_A_original_CA_coordinates.csv,224,4,0.5,0.947665
pdb4r66_A_original_CA_coordinates.csv,326,4,0.5,0.848106
pdb5pjt_A_original_CA_coordinates.csv,331,4,0.5,0.929875
pdb6lul_B_original_CA_coordinates.csv,224,4,0.5,0.897916
pdb2rr6_A_original_CA_coordinates.csv,168,4,0.5,0.911317
pdb3ioj_A_original_CA_coordinates.csv,284,4,0.5,0.921785
pdb3ckg_A_original_CA_coordinates.csv,236,4,0.5,0.945721
pdb5uav_A_original_CA_coordinates.csv,278,4,0.5,0.882024
pdb8i4j_A_original_CA_coordinates.csv,220,4,0.5,0.942884
pdb6lqo_A_original_CA_coordinates.csv,258,4,0.5,0.922977
pdb3fj1_A_original_CA_coordinates.csv,326,4,0.5,0.917173
pdb4pg7_A_original_CA_coordinates.csv,402,4,0.5,0.891995
pdb2qnl_A_original_CA_coordinates.csv,159,4,0.5,0.950517
pdb7tl4_A_original_CA_coordinates.csv,184,4,0.5,0.849506
pdb6prc_C_original_CA_coordinates.csv,332,4,0.5,0.96295
pdb1fdt_A_original_CA_coordinates.csv,285,4,0.5,0.915844
pdb6c8q_A_original_CA_coordinates.csv,268,4,0.5,0.872836
pdb6oe6_A_original_CA_coordinates.csv,127,4,0.5,0.917893
pdb4l7t_A_original_CA_coordinates.csv,490,4,0.5,0.943539
pdb6btf_A_original_CA_coordinates.csv,317,4,0.5,0.889507
pdb5r96_A_original_CA_coordinates.csv,347,4,0.5,0.860056
pdb3smv_A_original_CA_coordinates.csv,233,4,0.5,0.923378
pdb2fvv_A_original_CA_coordinates.csv,135,4,0.5,0.958256
pdb3cg6_A_original_CA_coordinates.csv,131,4,0.5,0.957837
pdb3hob_M_original_CA_coordinates.csv,156,4,0.5,0.892874
pdb3zjf_A_original_CA_coordinates.csv,322,4,0.5,0.85266
pdb8tuv_A_original_CA_coordinates.csv,425,4,0.5,0.902886
pdb4ok3_A_original_CA_coordinates.csv,426,4,0.5,0.932825
pdb5ii8_A_original_CA_coordinates.csv,131,4,0.5,0.898414
pdb5v0r_A_original_CA_coordinates.csv,145,4,0.5,0.862931
pdb7lp0_A_original_CA_coordinates.csv,111,4,0.5,0.963299
pdb3as5_A_original_CA_coordinates.csv,183,4,0.5,0.96943
pdb7bqi_A_original_CA_coordinates.csv,174,4,0.5,0.941401
pdb4yk9_A_original_CA_coordinates.csv,142,4,0.5,0.899812
